time	V(x_t)	V(y)
0.000000000000000e+000	0.000000e+000	5.253836e-019
5.554895389739605e-007	4.362805e-006	5.285542e-012
1.110979077947921e-006	8.725609e-006	9.572345e-012
1.666468616921882e-006	1.308841e-005	1.286041e-011
2.221958155895842e-006	1.745122e-005	1.514974e-011
2.777447694869802e-006	2.181402e-005	1.644033e-011
3.332937233843763e-006	2.617683e-005	1.673218e-011
3.888426772817722e-006	3.053963e-005	1.602529e-011
4.678481158271619e-006	3.674471e-005	1.578187e-011
5.596079859320886e-006	4.395151e-005	1.568433e-011
6.801447535717423e-006	5.341844e-005	1.530273e-011
8.239021846187054e-006	6.470913e-005	1.482629e-011
1.008747713225007e-005	7.922686e-005	1.404085e-011
1.233237441133970e-005	9.685824e-005	1.284286e-011
1.518380220963214e-005	1.192533e-004	1.097426e-011
1.868394989647962e-005	1.467434e-004	8.127314e-012
2.309669909032063e-005	1.814010e-004	3.759295e-012
2.854775797726440e-005	2.242136e-004	-2.747398e-012
3.538978507691861e-005	2.779507e-004	-1.233239e-011
4.387459224396380e-005	3.445903e-004	-2.571944e-011
5.449852150148144e-005	4.280304e-004	-4.308767e-011
6.770798260738459e-005	5.317773e-004	-6.146501e-011
8.423193343267129e-005	6.615560e-004	-7.083367e-011
1.021848055649683e-004	8.025576e-004	-4.952662e-011
1.204494736208523e-004	9.460080e-004	2.827091e-011
1.392657747699855e-004	1.093791e-003	1.984780e-010
1.589973278695618e-004	1.248762e-003	5.206610e-010
1.819838628450416e-004	1.429298e-003	1.152027e-009
2.090076401814255e-004	1.641542e-003	2.363588e-009
2.410083074036399e-004	1.892875e-003	4.675071e-009
2.785608656603786e-004	2.187812e-003	9.013119e-009
3.228009191385680e-004	2.535272e-003	1.714118e-008
3.747228140474438e-004	2.943065e-003	3.225094e-008
4.359265154015156e-004	3.423758e-003	6.036385e-008
5.080867236000609e-004	3.990502e-003	1.125263e-007
5.936853629769202e-004	4.662791e-003	2.096136e-007
6.957502890363864e-004	5.464406e-003	3.906745e-007
8.188328945315673e-004	6.431092e-003	7.308556e-007
9.695577191418111e-004	7.614877e-003	1.320661e-006
1.046237964984249e-003	8.217119e-003	1.697835e-006
1.053426738031978e-003	8.273579e-003	1.739951e-006
1.067383918056184e-003	8.383198e-003	1.825054e-006
1.081341098080390e-003	8.492817e-003	1.912965e-006
1.095298278104596e-003	8.602436e-003	2.003683e-006
1.109255458128802e-003	8.712054e-003	2.097210e-006
1.123212638153008e-003	8.821673e-003	2.193544e-006
1.137169818177214e-003	8.931292e-003	2.292686e-006
1.151126998201420e-003	9.040911e-003	2.394636e-006
1.191533261985844e-003	9.358259e-003	2.703183e-006
1.238064922731929e-003	9.723715e-003	3.087060e-006
1.289952742031943e-003	1.013124e-002	3.550661e-006
1.441882954858822e-003	1.132448e-002	5.138350e-006
1.542632795964783e-003	1.211576e-002	6.352758e-006
1.636011899705090e-003	1.284915e-002	7.588356e-006
1.690436370916278e-003	1.327659e-002	8.366591e-006
