time	V(x_t)	V(y)
0.000000000000000e+000	0.000000e+000	9.941695e-019
2.174143808741323e-003	1.707710e-002	-4.478980e-008
4.348287617482645e-003	3.415156e-002	-5.279698e-009
6.522431426223968e-003	5.122338e-002	1.185303e-007
8.696575234965290e-003	6.829256e-002	3.266402e-007
1.087071904370661e-002	8.535910e-002	6.190501e-007
1.304486285244794e-002	1.024230e-001	9.957598e-007
1.521900666118925e-002	1.194843e-001	1.456769e-006
1.898516786732639e-002	1.490208e-001	2.821557e-006
2.371769193012317e-002	1.861060e-001	5.484434e-006
2.962540831833751e-002	2.323416e-001	1.064581e-005
3.705874500418193e-002	2.904016e-001	2.072607e-005
4.639252079937849e-002	3.630774e-001	4.036810e-005
5.820127336398266e-002	4.545690e-001	7.891111e-005
7.318890283563691e-002	5.697727e-001	1.547370e-004
9.243295668279204e-002	7.158069e-001	3.054967e-004
1.174941399540390e-001	9.019842e-001	6.032326e-004
1.467910149540390e-001	1.112463e+000	1.106206e-003
1.760878899540390e-001	1.313524e+000	1.792519e-003
2.053847649540390e-001	1.503466e+000	2.674108e-003
2.346816399540390e-001	1.680681e+000	3.745029e-003
2.639785149540390e-001	1.843669e+000	4.987864e-003
2.932753899540390e-001	1.991050e+000	6.374817e-003
3.225722649540390e-001	2.121576e+000	7.869251e-003
3.518691399540390e-001	2.234143e+000	9.427581e-003
3.811660149540390e-001	2.327797e+000	1.100141e-002
4.104628899540390e-001	2.401746e+000	1.253983e-002
4.397597649540390e-001	2.455364e+000	1.399167e-002
4.690566399540390e-001	2.488197e+000	1.530778e-002
4.983535149540390e-001	2.499967e+000	1.644304e-002
5.276503899540390e-001	2.490574e+000	1.735817e-002
5.569472649540390e-001	2.460098e+000	1.802116e-002
5.862441399540390e-001	2.408797e+000	1.840837e-002
6.155410149540390e-001	2.337105e+000	1.850522e-002
6.448378899540390e-001	2.245629e+000	1.830642e-002
6.741347649540390e-001	2.135143e+000	1.781586e-002
7.034316399540390e-001	2.006583e+000	1.704610e-002
7.327285149540390e-001	1.861037e+000	1.601750e-002
7.620253899540390e-001	1.699737e+000	1.475712e-002
7.913222649540390e-001	1.524049e+000	1.329736e-002
8.206191399540390e-001	1.335459e+000	1.167454e-002
8.499160149540390e-001	1.135564e+000	9.927304e-003
