in s,C1 in V
-7.02002E+00,-3.418E-02
-7.01989E+00,-4.395E-02
-7.01976E+00,-5.371E-02
-7.01963E+00,-7.324E-02
-7.01950E+00,-3.418E-02
-7.01937E+00,-1.465E-02
-7.01924E+00,-2.441E-02
-7.01911E+00,-7.324E-02
-7.01898E+00,-3.418E-02
-7.01885E+00,-6.348E-02
-7.01871E+00,-3.418E-02
-7.01858E+00,-2.441E-02
-7.01845E+00,-6.348E-02
-7.01832E+00,-3.418E-02
-7.01819E+00,-3.418E-02
-7.01806E+00,-8.301E-02
-7.01793E+00,-6.348E-02
-7.01780E+00,-7.324E-02
-7.01767E+00,-3.418E-02
-7.01754E+00,-6.348E-02
-7.01740E+00,-7.324E-02
-7.01727E+00,-8.301E-02
-7.01714E+00,-3.418E-02
-7.01701E+00,-7.324E-02
-7.01688E+00,-6.348E-02
-7.01675E+00,-6.348E-02
-7.01662E+00,-6.348E-02
-7.01649E+00,-6.348E-02
-7.01636E+00,-6.348E-02
-7.01622E+00,-7.324E-02
-7.01609E+00,-8.301E-02
-7.01596E+00,-7.324E-02
-7.01583E+00,-8.301E-02
-7.01570E+00,-4.395E-02
-7.01557E+00,-7.324E-02
-7.01544E+00,-8.301E-02
-7.01531E+00,-5.371E-02
-7.01518E+00,-9.277E-02
-7.01505E+00,-8.301E-02
-7.01491E+00,-9.277E-02
-7.01478E+00,-7.324E-02
-7.01465E+00,-7.324E-02
-7.01452E+00,-7.324E-02
-7.01439E+00,-1.025E-01
-7.01426E+00,-8.301E-02
-7.01413E+00,-8.301E-02
-7.01400E+00,-1.123E-01
-7.01387E+00,-9.277E-02
-7.01374E+00,-7.324E-02
-7.01360E+00,-9.277E-02
-7.01347E+00,-8.301E-02
-7.01334E+00,-7.324E-02
-7.01321E+00,-1.221E-01
-7.01308E+00,-7.324E-02
-7.01295E+00,-1.025E-01
-7.01282E+00,-1.123E-01
-7.01269E+00,-1.221E-01
-7.01256E+00,-7.324E-02
-7.01242E+00,-1.123E-01
-7.01229E+00,-1.123E-01
-7.01216E+00,-1.025E-01
-7.01203E+00,-8.301E-02
-7.01190E+00,-8.301E-02
-7.01177E+00,-1.123E-01
-7.01164E+00,-1.123E-01
-7.01151E+00,-9.277E-02
-7.01138E+00,-1.123E-01
-7.01125E+00,-1.221E-01
-7.01111E+00,-1.123E-01
-7.01098E+00,-1.221E-01
-7.01085E+00,-1.416E-01
-7.01072E+00,-1.123E-01
-7.01059E+00,-1.514E-01
-7.01046E+00,-1.318E-01
-7.01033E+00,-1.123E-01
-7.01020E+00,-1.221E-01
-7.01007E+00,-1.514E-01
-7.00993E+00,-1.123E-01
-7.00980E+00,-1.221E-01
-7.00967E+00,-1.123E-01
-7.00954E+00,-1.123E-01
-7.00941E+00,-1.221E-01
-7.00928E+00,-1.514E-01
-7.00915E+00,-1.416E-01
-7.00902E+00,-1.416E-01
-7.00889E+00,-1.318E-01
-7.00876E+00,-1.318E-01
-7.00862E+00,-1.123E-01
-7.00849E+00,-1.123E-01
-7.00836E+00,-1.416E-01
-7.00823E+00,-1.221E-01
-7.00810E+00,-1.514E-01
-7.00797E+00,-1.123E-01
-7.00784E+00,-1.221E-01
-7.00771E+00,-1.416E-01
-7.00758E+00,-1.221E-01
-7.00745E+00,-1.416E-01
-7.00731E+00,-1.221E-01
-7.00718E+00,-1.416E-01
-7.00705E+00,-1.123E-01
-7.00692E+00,-1.123E-01
-7.00679E+00,-1.416E-01
-7.00666E+00,-1.416E-01
-7.00653E+00,-2.002E-01
-7.00640E+00,-2.002E-01
-7.00627E+00,-1.416E-01
-7.00613E+00,-1.416E-01
-7.00600E+00,-1.416E-01
-7.00587E+00,-9.277E-02
-7.00574E+00,-1.709E-01
-7.00561E+00,-1.514E-01
-7.00548E+00,-1.514E-01
