in s,C1 in V
-7.28003E+00,2.563E+00
-7.27989E+00,2.593E+00
-7.27976E+00,2.554E+00
-7.27963E+00,2.554E+00
-7.27950E+00,2.534E+00
-7.27937E+00,2.554E+00
-7.27924E+00,2.612E+00
-7.27911E+00,2.583E+00
-7.27898E+00,2.583E+00
-7.27885E+00,2.563E+00
-7.27872E+00,2.554E+00
-7.27858E+00,2.563E+00
-7.27845E+00,2.573E+00
-7.27832E+00,2.554E+00
-7.27819E+00,2.573E+00
-7.27806E+00,2.544E+00
-7.27793E+00,2.563E+00
-7.27780E+00,2.554E+00
-7.27767E+00,2.544E+00
-7.27754E+00,2.554E+00
-7.27740E+00,2.573E+00
-7.27727E+00,2.544E+00
-7.27714E+00,2.544E+00
-7.27701E+00,2.573E+00
-7.27688E+00,2.554E+00
-7.27675E+00,2.573E+00
-7.27662E+00,2.544E+00
-7.27649E+00,2.544E+00
-7.27636E+00,2.573E+00
-7.27623E+00,2.583E+00
-7.27609E+00,2.544E+00
-7.27596E+00,2.603E+00
-7.27583E+00,2.583E+00
-7.27570E+00,2.573E+00
-7.27557E+00,2.573E+00
-7.27544E+00,2.563E+00
-7.27531E+00,2.573E+00
-7.27518E+00,2.593E+00
-7.27505E+00,2.563E+00
-7.27491E+00,2.544E+00
-7.27478E+00,2.583E+00
-7.27465E+00,2.544E+00
-7.27452E+00,2.544E+00
-7.27439E+00,2.563E+00
-7.27426E+00,2.563E+00
-7.27413E+00,2.563E+00
-7.27400E+00,2.583E+00
-7.27387E+00,2.554E+00
-7.27374E+00,2.563E+00
-7.27360E+00,2.583E+00
-7.27347E+00,2.554E+00
-7.27334E+00,2.554E+00
-7.27321E+00,2.583E+00
-7.27308E+00,2.573E+00
-7.27295E+00,2.554E+00
-7.27282E+00,2.544E+00
-7.27269E+00,2.593E+00
-7.27256E+00,2.563E+00
-7.27243E+00,2.583E+00
-7.27229E+00,2.554E+00
-7.27216E+00,2.544E+00
-7.27203E+00,2.554E+00
-7.27190E+00,2.563E+00
-7.27177E+00,2.554E+00
-7.27164E+00,2.563E+00
-7.27151E+00,2.554E+00
-7.27138E+00,2.544E+00
-7.27125E+00,2.563E+00
-7.27111E+00,2.554E+00
-7.27098E+00,2.563E+00
-7.27085E+00,2.554E+00
-7.27072E+00,2.544E+00
-7.27059E+00,2.515E+00
-7.27046E+00,2.573E+00
-7.27033E+00,2.544E+00
-7.27020E+00,2.563E+00
-7.27007E+00,2.544E+00
-7.26994E+00,2.544E+00
-7.26980E+00,2.563E+00
-7.26967E+00,2.593E+00
-7.26954E+00,2.573E+00
-7.26941E+00,2.544E+00
-7.26928E+00,2.573E+00
-7.26915E+00,2.544E+00
-7.26902E+00,2.563E+00
-7.26889E+00,2.563E+00
-7.26876E+00,2.524E+00
-7.26862E+00,2.573E+00
