in s,C2 in V
-1.27600E+01,4.174E-03
-1.27598E+01,3.197E-03
-1.27596E+01,4.662E-03
-1.27594E+01,1.003E-02
-1.27592E+01,3.197E-03
-1.27589E+01,6.127E-03
-1.27587E+01,1.244E-03
-1.27585E+01,5.150E-03
-1.27583E+01,7.592E-03
-1.27580E+01,3.686E-03
-1.27578E+01,3.197E-03
-1.27576E+01,2.709E-03
-1.27574E+01,4.662E-03
-1.27572E+01,8.080E-03
-1.27569E+01,1.732E-03
-1.27567E+01,7.104E-03
-1.27565E+01,1.732E-03
-1.27563E+01,5.639E-03
-1.27560E+01,6.615E-03
-1.27558E+01,3.686E-03
-1.27556E+01,5.150E-03
-1.27554E+01,1.732E-03
-1.27552E+01,4.662E-03
-1.27549E+01,6.127E-03
-1.27547E+01,2.221E-03
-1.27545E+01,7.104E-03
-1.27543E+01,3.197E-03
-1.27541E+01,3.686E-03
-1.27538E+01,6.615E-03
-1.27536E+01,3.686E-03
-1.27534E+01,1.732E-03
-1.27532E+01,3.197E-03
-1.27529E+01,3.686E-03
-1.27527E+01,7.104E-03
-1.27525E+01,2.709E-03
-1.27523E+01,3.197E-03
-1.27521E+01,9.545E-03
-1.27518E+01,2.221E-03
-1.27516E+01,2.676E-04
-1.27514E+01,7.559E-04
-1.27512E+01,1.244E-03
-1.27509E+01,4.662E-03
-1.27507E+01,2.676E-04
-1.27505E+01,6.127E-03
-1.27503E+01,5.150E-03
-1.27501E+01,1.732E-03
-1.27498E+01,1.732E-03
-1.27496E+01,4.662E-03
-1.27494E+01,2.709E-03
-1.27492E+01,4.662E-03
-1.27490E+01,-2.207E-04
-1.27487E+01,2.221E-03
-1.27485E+01,6.615E-03
-1.27483E+01,-7.090E-04
-1.27481E+01,1.732E-03
-1.27478E+01,2.709E-03
-1.27476E+01,3.197E-03
-1.27474E+01,-2.662E-03
-1.27472E+01,2.709E-03
-1.27470E+01,5.639E-03
-1.27467E+01,1.732E-03
-1.27465E+01,3.197E-03
-1.27463E+01,-7.090E-04
-1.27461E+01,2.709E-03
-1.27458E+01,4.174E-03
-1.27456E+01,2.709E-03
-1.27454E+01,2.709E-03
-1.27452E+01,3.686E-03
-1.27450E+01,-1.197E-03
-1.27447E+01,2.676E-04
-1.27445E+01,6.615E-03
-1.27443E+01,1.244E-03
-1.27441E+01,1.244E-03
-1.27439E+01,4.174E-03
-1.27436E+01,-2.207E-04
-1.27434E+01,1.732E-03
-1.27432E+01,7.559E-04
-1.27430E+01,-2.174E-03
-1.27427E+01,4.662E-03
-1.27425E+01,-1.686E-03
-1.27423E+01,7.559E-04
-1.27421E+01,2.676E-04
-1.27419E+01,2.709E-03
-1.27416E+01,3.197E-03
-1.27414E+01,1.244E-03
-1.27412E+01,2.709E-03
-1.27410E+01,-1.197E-03
-1.27407E+01,1.732E-03
-1.27405E+01,4.174E-03
-1.27403E+01,-1.197E-03
-1.27401E+01,-7.090E-04
-1.27399E+01,-1.197E-03
-1.27396E+01,1.244E-03
-1.27394E+01,1.244E-03
-1.27392E+01,-7.090E-04
-1.27390E+01,3.197E-03
-1.27388E+01,5.150E-03
-1.27385E+01,-7.090E-04
-1.27383E+01,-2.207E-04
-1.27381E+01,-1.686E-03
-1.27379E+01,-7.090E-04
-1.27376E+01,1.244E-03
-1.27374E+01,-2.207E-04
-1.27372E+01,1.732E-03
-1.27370E+01,-7.090E-04
-1.27368E+01,1.244E-03
-1.27365E+01,3.197E-03
-1.27363E+01,-1.197E-03
-1.27361E+01,-3.150E-03
-1.27359E+01,-1.197E-03
-1.27356E+01,-2.174E-03
-1.27354E+01,-7.090E-04
-1.27352E+01,-2.662E-03
-1.27350E+01,-1.197E-03
-1.27348E+01,1.732E-03
-1.27345E+01,-1.686E-03
-1.27343E+01,-7.090E-04
-1.27341E+01,1.732E-03
-1.27339E+01,-1.686E-03
-1.27337E+01,7.559E-04
-1.27334E+01,-2.662E-03
-1.27332E+01,-1.197E-03
-1.27330E+01,3.686E-03
-1.27328E+01,-3.150E-03
-1.27325E+01,-1.686E-03
-1.27323E+01,-4.127E-03
-1.27321E+01,-7.090E-04
-1.27319E+01,1.732E-03
-1.27317E+01,-2.662E-03
-1.27314E+01,2.676E-04
-1.27312E+01,-4.615E-03
-1.27310E+01,-2.174E-03
-1.27308E+01,2.676E-04
-1.27305E+01,-3.639E-03
-1.27303E+01,-2.207E-04
-1.27301E+01,-7.090E-04
-1.27299E+01,-2.662E-03
-1.27297E+01,-1.197E-03
-1.27294E+01,-1.686E-03
-1.27292E+01,-4.127E-03
-1.27290E+01,-2.662E-03
-1.27288E+01,-3.150E-03
-1.27286E+01,-2.174E-03
-1.27283E+01,2.221E-03
-1.27281E+01,-3.639E-03
-1.27279E+01,-2.662E-03
-1.27277E+01,-2.174E-03
-1.27274E+01,-3.150E-03
-1.27272E+01,7.559E-04
-1.27270E+01,-7.090E-04
-1.27268E+01,-4.127E-03
-1.27266E+01,-2.174E-03
-1.27263E+01,-6.080E-03
-1.27261E+01,-2.174E-03
-1.27259E+01,-5.592E-03
-1.27257E+01,-2.662E-03
-1.27254E+01,-2.662E-03
-1.27252E+01,-2.207E-04
-1.27250E+01,-6.080E-03
-1.27248E+01,-2.174E-03
-1.27246E+01,-1.197E-03
-1.27243E+01,-5.104E-03
-1.27241E+01,-4.615E-03
-1.27239E+01,7.559E-04
-1.27237E+01,-2.174E-03
-1.27235E+01,-4.127E-03
-1.27232E+01,-7.090E-04
-1.27230E+01,-4.615E-03
-1.27228E+01,-3.150E-03
-1.27226E+01,-4.615E-03
-1.27223E+01,-3.639E-03
-1.27221E+01,-7.090E-04
-1.27219E+01,-6.568E-03
-1.27217E+01,2.676E-04
-1.27215E+01,-7.090E-04
-1.27212E+01,-6.080E-03
-1.27210E+01,-5.104E-03
-1.27208E+01,-8.033E-03
-1.27206E+01,-3.639E-03
-1.27203E+01,-2.174E-03
-1.27201E+01,-5.104E-03
-1.27199E+01,-5.592E-03
-1.27197E+01,-3.150E-03
-1.27195E+01,-8.033E-03
-1.27192E+01,-3.639E-03
-1.27190E+01,-7.057E-03
-1.27188E+01,-3.639E-03
-1.27186E+01,-3.639E-03
-1.27184E+01,-5.592E-03
-1.27181E+01,-1.686E-03
-1.27179E+01,-8.033E-03
-1.27177E+01,-4.615E-03
-1.27175E+01,-2.174E-03
-1.27172E+01,-6.568E-03
-1.27170E+01,-3.150E-03
-1.27168E+01,-6.568E-03
-1.27166E+01,-5.104E-03
-1.27164E+01,-1.197E-03
-1.27161E+01,-7.057E-03
-1.27159E+01,-6.080E-03
-1.27157E+01,-6.568E-03
-1.27155E+01,-6.080E-03
-1.27152E+01,-4.615E-03
-1.27150E+01,-7.545E-03
-1.27148E+01,-5.104E-03
-1.27146E+01,-4.127E-03
-1.27144E+01,-6.568E-03
-1.27141E+01,-7.545E-03
-1.27139E+01,-6.568E-03
-1.27137E+01,-6.080E-03
-1.27135E+01,-3.639E-03
-1.27133E+01,-5.104E-03
-1.27130E+01,-5.592E-03
-1.27128E+01,-6.080E-03
-1.27126E+01,-3.639E-03
-1.27124E+01,-3.639E-03
-1.27121E+01,-8.033E-03
-1.27119E+01,-5.592E-03
-1.27117E+01,-7.057E-03
-1.27115E+01,-6.568E-03
-1.27113E+01,-3.150E-03
-1.27110E+01,-7.057E-03
-1.27108E+01,-1.047E-02
-1.27106E+01,-7.057E-03
-1.27104E+01,-8.033E-03
-1.27101E+01,-2.662E-03
-1.27099E+01,-9.498E-03
-1.27097E+01,-6.080E-03
-1.27095E+01,-8.033E-03
-1.27093E+01,-7.057E-03
-1.27090E+01,-8.521E-03
-1.27088E+01,-9.498E-03
-1.27086E+01,-2.662E-03
-1.27084E+01,-7.057E-03
-1.27081E+01,-6.568E-03
-1.27079E+01,-7.545E-03
-1.27077E+01,-8.033E-03
-1.27075E+01,-5.104E-03
-1.27073E+01,-9.498E-03
-1.27070E+01,-8.033E-03
-1.27068E+01,-7.057E-03
-1.27066E+01,-1.194E-02
-1.27064E+01,-6.080E-03
-1.27062E+01,-8.033E-03
-1.27059E+01,-6.080E-03
-1.27057E+01,-7.090E-04
-1.27055E+01,-8.521E-03
-1.27053E+01,-7.057E-03
-1.27050E+01,-1.145E-02
-1.27048E+01,-7.057E-03
-1.27046E+01,-4.127E-03
-1.27044E+01,-8.033E-03
-1.27042E+01,-1.047E-02
-1.27039E+01,-8.033E-03
-1.27037E+01,-1.096E-02
-1.27035E+01,-9.986E-03
-1.27033E+01,-8.033E-03
-1.27030E+01,-1.047E-02
-1.27028E+01,-9.010E-03
-1.27026E+01,-1.096E-02
-1.27024E+01,-9.010E-03
-1.27022E+01,-8.033E-03
-1.27019E+01,-1.194E-02
-1.27017E+01,-7.057E-03
-1.27015E+01,-4.615E-03
