in s,C1 in V
-2.10231E+00,-2.437E+00
-2.10226E+00,-2.427E+00
-2.10221E+00,-2.495E+00
-2.10216E+00,-2.446E+00
-2.10210E+00,-2.476E+00
-2.10205E+00,-2.485E+00
-2.10200E+00,-2.466E+00
-2.10195E+00,-2.456E+00
-2.10190E+00,-2.466E+00
-2.10185E+00,-2.476E+00
-2.10180E+00,-2.446E+00
-2.10175E+00,-2.437E+00
-2.10170E+00,-2.437E+00
-2.10164E+00,-2.485E+00
-2.10159E+00,-2.495E+00
-2.10154E+00,-2.437E+00
-2.10149E+00,-2.446E+00
-2.10144E+00,-2.476E+00
-2.10139E+00,-2.466E+00
-2.10134E+00,-2.485E+00
-2.10129E+00,-2.456E+00
-2.10124E+00,-2.437E+00
-2.10118E+00,-2.476E+00
-2.10113E+00,-2.456E+00
-2.10108E+00,-2.446E+00
-2.10103E+00,-2.476E+00
-2.10098E+00,-2.485E+00
-2.10093E+00,-2.446E+00
-2.10088E+00,-2.456E+00
-2.10083E+00,-2.476E+00
-2.10077E+00,-2.495E+00
-2.10072E+00,-2.456E+00
-2.10067E+00,-2.437E+00
-2.10062E+00,-2.437E+00
-2.10057E+00,-2.466E+00
-2.10052E+00,-2.476E+00
-2.10047E+00,-2.505E+00
-2.10042E+00,-2.446E+00
-2.10037E+00,-2.446E+00
-2.10031E+00,-2.466E+00
-2.10026E+00,-2.456E+00
-2.10021E+00,-2.437E+00
-2.10016E+00,-2.466E+00
-2.10011E+00,-2.446E+00
-2.10006E+00,-2.466E+00
-2.10001E+00,-2.437E+00
-2.09996E+00,-2.446E+00
-2.09991E+00,-2.437E+00
-2.09985E+00,-2.495E+00
-2.09980E+00,-2.437E+00
-2.09975E+00,-2.476E+00
-2.09970E+00,-2.446E+00
-2.09965E+00,-2.466E+00
-2.09960E+00,-2.476E+00
-2.09955E+00,-2.495E+00
-2.09950E+00,-2.495E+00
-2.09945E+00,-2.456E+00
-2.09939E+00,-2.446E+00
-2.09934E+00,-2.505E+00
-2.09929E+00,-2.417E+00
-2.09924E+00,-2.466E+00
-2.09919E+00,-2.485E+00
-2.09914E+00,-2.456E+00
-2.09909E+00,-2.456E+00
-2.09904E+00,-2.417E+00
-2.09899E+00,-2.485E+00
-2.09893E+00,-2.485E+00
-2.09888E+00,-2.456E+00
-2.09883E+00,-2.485E+00
-2.09878E+00,-2.476E+00
-2.09873E+00,-2.495E+00
-2.09868E+00,-2.456E+00
-2.09863E+00,-2.476E+00
-2.09858E+00,-2.476E+00
-2.09853E+00,-2.466E+00
-2.09847E+00,-2.446E+00
-2.09842E+00,-2.466E+00
-2.09837E+00,-2.466E+00
-2.09832E+00,-2.456E+00
-2.09827E+00,-2.417E+00
-2.09822E+00,-2.456E+00
-2.09817E+00,-2.466E+00
-2.09812E+00,-2.495E+00
-2.09807E+00,-2.417E+00
-2.09801E+00,-2.466E+00
-2.09796E+00,-2.427E+00
-2.09791E+00,-2.466E+00
-2.09786E+00,-2.446E+00
-2.09781E+00,-2.495E+00
-2.09776E+00,-2.466E+00
-2.09771E+00,-2.466E+00
-2.09766E+00,-2.437E+00
-2.09761E+00,-2.437E+00
-2.09755E+00,-2.476E+00
-2.09750E+00,-2.456E+00
-2.09745E+00,-2.446E+00
-2.09740E+00,-2.446E+00
-2.09735E+00,-2.446E+00
-2.09730E+00,-2.466E+00
-2.09725E+00,-2.466E+00
-2.09720E+00,-2.437E+00
-2.09714E+00,-2.476E+00
-2.09709E+00,-2.466E+00
-2.09704E+00,-2.446E+00
-2.09699E+00,-2.466E+00
-2.09694E+00,-2.466E+00
-2.09689E+00,-2.466E+00
-2.09684E+00,-2.466E+00
-2.09679E+00,-2.437E+00
-2.09674E+00,-2.456E+00
