in s,C1 in V
-7.28005E+00,1.821E+00
-7.27991E+00,1.821E+00
-7.27978E+00,1.821E+00
-7.27965E+00,1.812E+00
-7.27952E+00,1.812E+00
-7.27939E+00,1.802E+00
-7.27926E+00,1.821E+00
-7.27913E+00,1.812E+00
-7.27900E+00,1.812E+00
-7.27887E+00,1.812E+00
-7.27874E+00,1.812E+00
-7.27860E+00,1.821E+00
-7.27847E+00,1.841E+00
-7.27834E+00,1.821E+00
-7.27821E+00,1.802E+00
-7.27808E+00,1.802E+00
-7.27795E+00,1.821E+00
-7.27782E+00,1.821E+00
-7.27769E+00,1.812E+00
-7.27756E+00,1.802E+00
-7.27742E+00,1.831E+00
-7.27729E+00,1.802E+00
-7.27716E+00,1.821E+00
-7.27703E+00,1.821E+00
-7.27690E+00,1.763E+00
-7.27677E+00,1.802E+00
-7.27664E+00,1.792E+00
-7.27651E+00,1.821E+00
-7.27638E+00,1.802E+00
-7.27625E+00,1.802E+00
-7.27611E+00,1.753E+00
-7.27598E+00,1.772E+00
-7.27585E+00,1.821E+00
-7.27572E+00,1.792E+00
-7.27559E+00,1.802E+00
-7.27546E+00,1.782E+00
-7.27533E+00,1.802E+00
-7.27520E+00,1.792E+00
-7.27507E+00,1.821E+00
-7.27494E+00,1.772E+00
-7.27480E+00,1.792E+00
-7.27467E+00,1.792E+00
-7.27454E+00,1.831E+00
-7.27441E+00,1.821E+00
-7.27428E+00,1.792E+00
-7.27415E+00,1.782E+00
-7.27402E+00,1.763E+00
-7.27389E+00,1.782E+00
-7.27376E+00,1.821E+00
-7.27362E+00,1.782E+00
-7.27349E+00,1.782E+00
-7.27336E+00,1.772E+00
-7.27323E+00,1.763E+00
-7.27310E+00,1.733E+00
-7.27297E+00,1.782E+00
-7.27284E+00,1.772E+00
-7.27271E+00,1.792E+00
-7.27258E+00,1.772E+00
-7.27245E+00,1.782E+00
-7.27231E+00,1.792E+00
-7.27218E+00,1.782E+00
-7.27205E+00,1.792E+00
-7.27192E+00,1.772E+00
-7.27179E+00,1.782E+00
-7.27166E+00,1.763E+00
-7.27153E+00,1.753E+00
-7.27140E+00,1.782E+00
-7.27127E+00,1.782E+00
-7.27114E+00,1.743E+00
-7.27100E+00,1.753E+00
-7.27087E+00,1.792E+00
-7.27074E+00,1.772E+00
-7.27061E+00,1.802E+00
-7.27048E+00,1.812E+00
-7.27035E+00,1.724E+00
-7.27022E+00,1.743E+00
-7.27009E+00,1.753E+00
-7.26996E+00,1.763E+00
-7.26982E+00,1.772E+00
-7.26969E+00,1.792E+00
-7.26956E+00,1.753E+00
-7.26943E+00,1.782E+00
-7.26930E+00,1.782E+00
-7.26917E+00,1.753E+00
-7.26904E+00,1.743E+00
-7.26891E+00,1.743E+00
-7.26878E+00,1.782E+00
-7.26865E+00,1.733E+00
-7.26851E+00,1.763E+00
-7.26838E+00,1.743E+00
-7.26825E+00,1.782E+00
-7.26812E+00,1.763E+00
-7.26799E+00,1.753E+00
-7.26786E+00,1.772E+00
-7.26773E+00,1.763E+00
-7.26760E+00,1.772E+00
-7.26747E+00,1.753E+00
-7.26733E+00,1.743E+00
-7.26720E+00,1.772E+00
-7.26707E+00,1.733E+00
-7.26694E+00,1.733E+00
-7.26681E+00,1.724E+00
-7.26668E+00,1.753E+00
-7.26655E+00,1.763E+00
-7.26642E+00,1.763E+00
-7.26629E+00,1.753E+00
-7.26616E+00,1.743E+00
-7.26602E+00,1.733E+00
-7.26589E+00,1.753E+00
-7.26576E+00,1.733E+00
-7.26563E+00,1.733E+00
-7.26550E+00,1.763E+00
-7.26537E+00,1.753E+00
-7.26524E+00,1.733E+00
-7.26511E+00,1.724E+00
-7.26498E+00,1.763E+00
-7.26485E+00,1.733E+00
-7.26471E+00,1.724E+00
-7.26458E+00,1.724E+00
-7.26445E+00,1.743E+00
-7.26432E+00,1.753E+00
-7.26419E+00,1.714E+00
-7.26406E+00,1.763E+00
-7.26393E+00,1.743E+00
-7.26380E+00,1.743E+00
-7.26367E+00,1.743E+00
-7.26353E+00,1.714E+00
-7.26340E+00,1.743E+00
-7.26327E+00,1.753E+00
-7.26314E+00,1.743E+00
-7.26301E+00,1.733E+00
-7.26288E+00,1.714E+00
-7.26275E+00,1.714E+00
-7.26262E+00,1.694E+00
-7.26249E+00,1.694E+00
-7.26236E+00,1.714E+00
-7.26222E+00,1.733E+00
-7.26209E+00,1.714E+00
-7.26196E+00,1.685E+00
-7.26183E+00,1.694E+00
-7.26170E+00,1.733E+00
-7.26157E+00,1.714E+00
-7.26144E+00,1.694E+00
-7.26131E+00,1.724E+00
-7.26118E+00,1.724E+00
-7.26104E+00,1.694E+00
-7.26091E+00,1.714E+00
