in s,C2 in V
-6.84245E+00,9.473E-03
-6.84231E+00,3.223E-03
-6.84218E+00,-6.836E-04
-6.84205E+00,4.590E-03
-6.84192E+00,2.832E-03
-6.84179E+00,1.465E-03
-6.84166E+00,4.590E-03
-6.84153E+00,8.789E-04
-6.84140E+00,5.762E-03
-6.84127E+00,3.809E-03
-6.84114E+00,2.246E-03
-6.84100E+00,5.566E-03
-6.84087E+00,3.418E-03
-6.84074E+00,1.660E-03
-6.84061E+00,3.223E-03
-6.84048E+00,2.441E-03
-6.84035E+00,1.025E-02
-6.84022E+00,3.809E-03
-6.84009E+00,3.223E-03
-6.83996E+00,7.520E-03
-6.83982E+00,3.809E-03
-6.83969E+00,2.637E-03
-6.83956E+00,5.957E-03
-6.83943E+00,3.027E-03
-6.83930E+00,4.004E-03
-6.83917E+00,6.836E-04
-6.83904E+00,1.855E-03
-6.83891E+00,6.348E-03
-6.83878E+00,3.613E-03
-6.83865E+00,2.441E-03
-6.83851E+00,6.152E-03
-6.83838E+00,1.465E-03
-6.83825E+00,1.270E-03
-6.83812E+00,4.395E-03
-6.83799E+00,6.836E-04
-6.83786E+00,3.613E-03
-6.83773E+00,4.785E-03
-6.83760E+00,3.809E-03
-6.83747E+00,7.324E-03
-6.83733E+00,5.176E-03
-6.83720E+00,4.395E-03
-6.83707E+00,8.496E-03
-6.83694E+00,1.465E-03
-6.83681E+00,2.832E-03
-6.83668E+00,3.809E-03
-6.83655E+00,2.637E-03
-6.83642E+00,2.246E-03
-6.83629E+00,4.199E-03
-6.83616E+00,-2.930E-04
-6.83602E+00,8.105E-03
-6.83589E+00,3.809E-03
-6.83576E+00,2.441E-03
-6.83563E+00,4.395E-03
-6.83550E+00,2.441E-03
-6.83537E+00,1.660E-03
-6.83524E+00,5.176E-03
-6.83511E+00,1.465E-03
-6.83498E+00,4.004E-03
-6.83485E+00,1.660E-03
-6.83471E+00,3.613E-03
-6.83458E+00,8.105E-03
-6.83445E+00,5.762E-03
-6.83432E+00,6.836E-04
-6.83419E+00,1.660E-03
-6.83406E+00,2.930E-04
-6.83393E+00,7.129E-03
-6.83380E+00,4.199E-03
-6.83367E+00,4.883E-04
-6.83353E+00,2.832E-03
-6.83340E+00,6.836E-04
-6.83327E+00,6.348E-03
-6.83314E+00,5.957E-03
-6.83301E+00,1.074E-03
-6.83288E+00,3.223E-03
-6.83275E+00,3.027E-03
-6.83262E+00,3.027E-03
-6.83249E+00,2.832E-03
-6.83236E+00,3.027E-03
-6.83222E+00,5.762E-03
-6.83209E+00,4.004E-03
-6.83196E+00,1.660E-03
-6.83183E+00,4.199E-03
-6.83170E+00,2.832E-03
-6.83157E+00,4.980E-03
-6.83144E+00,8.789E-04
-6.83131E+00,8.789E-04
-6.83118E+00,9.863E-03
-6.83105E+00,1.660E-03
-6.83091E+00,-4.883E-04
-6.83078E+00,4.980E-03
-6.83065E+00,1.660E-03
-6.83052E+00,1.660E-03
-6.83039E+00,4.980E-03
-6.83026E+00,1.855E-03
-6.83013E+00,3.613E-03
-6.83000E+00,3.223E-03
-6.82987E+00,2.441E-03
-6.82973E+00,6.348E-03
-6.82960E+00,1.660E-03
-6.82947E+00,2.441E-03
-6.82934E+00,3.809E-03
-6.82921E+00,-2.930E-04
-6.82908E+00,6.836E-04
-6.82895E+00,6.152E-03
