in s,C2 in V
-6.84243E+00,1.631E-02
-6.84229E+00,1.377E-02
-6.84216E+00,1.553E-02
-6.84203E+00,1.436E-02
-6.84190E+00,1.533E-02
-6.84177E+00,1.318E-02
-6.84164E+00,1.279E-02
-6.84151E+00,1.553E-02
-6.84138E+00,1.377E-02
-6.84125E+00,1.377E-02
-6.84111E+00,1.221E-02
-6.84098E+00,1.182E-02
-6.84085E+00,1.631E-02
-6.84072E+00,1.436E-02
-6.84059E+00,1.963E-02
-6.84046E+00,1.436E-02
-6.84033E+00,1.670E-02
-6.84020E+00,1.357E-02
-6.84007E+00,1.123E-02
-6.83994E+00,1.396E-02
-6.83980E+00,1.357E-02
-6.83967E+00,1.572E-02
-6.83954E+00,1.338E-02
-6.83941E+00,1.436E-02
-6.83928E+00,1.201E-02
-6.83915E+00,1.436E-02
-6.83902E+00,1.553E-02
-6.83889E+00,1.475E-02
-6.83876E+00,1.357E-02
-6.83863E+00,1.377E-02
-6.83849E+00,1.221E-02
-6.83836E+00,1.689E-02
-6.83823E+00,1.572E-02
-6.83810E+00,1.279E-02
-6.83797E+00,1.436E-02
-6.83784E+00,1.240E-02
-6.83771E+00,1.709E-02
-6.83758E+00,1.455E-02
-6.83745E+00,1.279E-02
-6.83731E+00,1.475E-02
-6.83718E+00,1.221E-02
-6.83705E+00,1.729E-02
-6.83692E+00,1.182E-02
-6.83679E+00,1.318E-02
-6.83666E+00,1.572E-02
-6.83653E+00,1.221E-02
-6.83640E+00,1.377E-02
-6.83627E+00,1.377E-02
-6.83614E+00,1.475E-02
-6.83600E+00,1.787E-02
-6.83587E+00,1.377E-02
-6.83574E+00,1.533E-02
-6.83561E+00,1.318E-02
-6.83548E+00,1.260E-02
-6.83535E+00,1.533E-02
-6.83522E+00,1.299E-02
-6.83509E+00,1.709E-02
-6.83496E+00,1.357E-02
-6.83482E+00,1.064E-02
-6.83469E+00,1.396E-02
-6.83456E+00,1.396E-02
-6.83443E+00,1.494E-02
-6.83430E+00,1.475E-02
-6.83417E+00,1.416E-02
-6.83404E+00,1.494E-02
-6.83391E+00,1.279E-02
-6.83378E+00,1.807E-02
-6.83365E+00,1.611E-02
-6.83351E+00,1.104E-02
-6.83338E+00,1.494E-02
-6.83325E+00,1.221E-02
-6.83312E+00,1.807E-02
-6.83299E+00,1.533E-02
-6.83286E+00,1.221E-02
-6.83273E+00,1.240E-02
-6.83260E+00,1.240E-02
-6.83247E+00,1.436E-02
-6.83234E+00,1.260E-02
-6.83220E+00,1.533E-02
-6.83207E+00,1.377E-02
-6.83194E+00,1.475E-02
-6.83181E+00,1.553E-02
-6.83168E+00,1.436E-02
-6.83155E+00,1.631E-02
-6.83142E+00,1.260E-02
-6.83129E+00,1.689E-02
-6.83116E+00,1.436E-02
-6.83102E+00,1.104E-02
-6.83089E+00,1.592E-02
-6.83076E+00,1.318E-02
-6.83063E+00,1.631E-02
-6.83050E+00,1.572E-02
-6.83037E+00,1.611E-02
-6.83024E+00,1.533E-02
-6.83011E+00,1.318E-02
-6.82998E+00,1.689E-02
-6.82985E+00,1.279E-02
-6.82971E+00,1.572E-02
-6.82958E+00,1.416E-02
-6.82945E+00,1.514E-02
-6.82932E+00,1.650E-02
-6.82919E+00,1.221E-02
-6.82906E+00,1.572E-02
-6.82893E+00,1.318E-02
-6.82880E+00,1.240E-02
-6.82867E+00,1.631E-02
-6.82853E+00,1.436E-02
-6.82840E+00,1.162E-02
-6.82827E+00,1.533E-02
-6.82814E+00,1.221E-02
-6.82801E+00,1.533E-02
-6.82788E+00,1.494E-02
-6.82775E+00,9.277E-03
-6.82762E+00,1.475E-02
-6.82749E+00,1.338E-02
-6.82736E+00,1.709E-02
-6.82722E+00,1.514E-02
-6.82709E+00,1.279E-02
-6.82696E+00,1.514E-02
-6.82683E+00,1.396E-02
-6.82670E+00,1.787E-02
-6.82657E+00,1.514E-02
-6.82644E+00,1.260E-02
-6.82631E+00,1.416E-02
-6.82618E+00,1.279E-02
-6.82605E+00,1.631E-02
-6.82591E+00,1.436E-02
-6.82578E+00,1.357E-02
-6.82565E+00,1.553E-02
-6.82552E+00,1.455E-02
-6.82539E+00,1.592E-02
-6.82526E+00,1.318E-02
-6.82513E+00,1.123E-02
-6.82500E+00,1.494E-02
-6.82487E+00,1.436E-02
-6.82473E+00,1.592E-02
-6.82460E+00,1.494E-02
-6.82447E+00,9.668E-03
-6.82434E+00,1.572E-02
-6.82421E+00,1.104E-02
-6.82408E+00,1.299E-02
-6.82395E+00,1.104E-02
-6.82382E+00,1.475E-02
-6.82369E+00,1.533E-02
-6.82356E+00,1.455E-02
-6.82342E+00,1.143E-02
-6.82329E+00,1.514E-02
-6.82316E+00,1.436E-02
-6.82303E+00,1.689E-02
-6.82290E+00,1.436E-02
-6.82277E+00,1.162E-02
-6.82264E+00,1.494E-02
-6.82251E+00,1.338E-02
-6.82238E+00,1.631E-02
-6.82225E+00,1.377E-02
-6.82211E+00,1.689E-02
-6.82198E+00,1.221E-02
-6.82185E+00,1.455E-02
-6.82172E+00,1.221E-02
-6.82159E+00,1.045E-02
-6.82146E+00,1.338E-02
-6.82133E+00,1.240E-02
-6.82120E+00,1.631E-02
-6.82107E+00,1.494E-02
-6.82093E+00,1.826E-02
-6.82080E+00,1.494E-02
-6.82067E+00,1.436E-02
-6.82054E+00,1.240E-02
-6.82041E+00,1.338E-02
-6.82028E+00,1.553E-02
-6.82015E+00,1.162E-02
-6.82002E+00,1.611E-02
-6.81989E+00,1.436E-02
-6.81976E+00,1.162E-02
-6.81962E+00,1.357E-02
-6.81949E+00,1.475E-02
-6.81936E+00,1.436E-02
-6.81923E+00,1.006E-02
-6.81910E+00,1.592E-02
-6.81897E+00,1.494E-02
-6.81884E+00,1.357E-02
-6.81871E+00,1.553E-02
-6.81858E+00,1.143E-02
-6.81844E+00,1.689E-02
-6.81831E+00,1.592E-02
-6.81818E+00,1.240E-02
-6.81805E+00,1.260E-02
-6.81792E+00,1.162E-02
-6.81779E+00,1.787E-02
-6.81766E+00,1.357E-02
-6.81753E+00,1.455E-02
-6.81740E+00,1.670E-02
-6.81727E+00,1.357E-02
-6.81713E+00,1.475E-02
-6.81700E+00,1.338E-02
-6.81687E+00,1.240E-02
-6.81674E+00,1.963E-02
