in s,C1 in V
-6.24242E+00,-4.443E-01
-6.24230E+00,-4.541E-01
-6.24218E+00,-3.955E-01
-6.24206E+00,-4.541E-01
-6.24194E+00,-4.150E-01
-6.24182E+00,-4.443E-01
-6.24170E+00,-4.639E-01
-6.24158E+00,-4.639E-01
-6.24146E+00,-4.639E-01
-6.24133E+00,-4.639E-01
-6.24121E+00,-4.932E-01
-6.24109E+00,-4.736E-01
-6.24097E+00,-4.834E-01
-6.24085E+00,-4.541E-01
-6.24073E+00,-4.639E-01
-6.24061E+00,-4.639E-01
-6.24049E+00,-4.932E-01
-6.24037E+00,-4.932E-01
-6.24025E+00,-5.225E-01
-6.24012E+00,-4.834E-01
-6.24000E+00,-4.932E-01
-6.23988E+00,-5.029E-01
-6.23976E+00,-5.225E-01
-6.23964E+00,-5.322E-01
-6.23952E+00,-5.029E-01
-6.23940E+00,-5.322E-01
-6.23928E+00,-5.322E-01
-6.23916E+00,-5.225E-01
-6.23904E+00,-5.322E-01
-6.23892E+00,-5.225E-01
-6.23879E+00,-5.615E-01
-6.23867E+00,-5.225E-01
-6.23855E+00,-5.420E-01
-6.23843E+00,-5.713E-01
-6.23831E+00,-5.420E-01
-6.23819E+00,-5.420E-01
-6.23807E+00,-5.322E-01
-6.23795E+00,-5.713E-01
-6.23783E+00,-5.713E-01
-6.23771E+00,-5.713E-01
-6.23758E+00,-5.713E-01
-6.23746E+00,-5.908E-01
-6.23734E+00,-5.811E-01
-6.23722E+00,-6.006E-01
-6.23710E+00,-5.908E-01
-6.23698E+00,-5.811E-01
-6.23686E+00,-5.908E-01
-6.23674E+00,-6.299E-01
-6.23662E+00,-5.908E-01
-6.23650E+00,-6.006E-01
-6.23638E+00,-5.908E-01
-6.23625E+00,-6.299E-01
-6.23613E+00,-6.104E-01
-6.23601E+00,-6.104E-01
-6.23589E+00,-6.396E-01
-6.23577E+00,-6.396E-01
-6.23565E+00,-6.592E-01
-6.23553E+00,-6.494E-01
-6.23541E+00,-6.396E-01
-6.23529E+00,-6.494E-01
-6.23517E+00,-6.201E-01
-6.23504E+00,-6.689E-01
-6.23492E+00,-6.689E-01
-6.23480E+00,-6.592E-01
-6.23468E+00,-6.787E-01
-6.23456E+00,-6.787E-01
-6.23444E+00,-6.494E-01
-6.23432E+00,-6.787E-01
-6.23420E+00,-6.787E-01
-6.23408E+00,-6.494E-01
-6.23396E+00,-6.787E-01
-6.23383E+00,-6.885E-01
-6.23371E+00,-7.178E-01
-6.23359E+00,-7.178E-01
-6.23347E+00,-7.275E-01
-6.23335E+00,-6.982E-01
-6.23323E+00,-7.178E-01
-6.23311E+00,-7.373E-01
-6.23299E+00,-7.373E-01
-6.23287E+00,-6.982E-01
-6.23275E+00,-7.568E-01
-6.23263E+00,-7.178E-01
-6.23250E+00,-7.178E-01
-6.23238E+00,-7.471E-01
-6.23226E+00,-7.373E-01
-6.23214E+00,-7.373E-01
-6.23202E+00,-7.178E-01
-6.23190E+00,-7.373E-01
-6.23178E+00,-7.666E-01
-6.23166E+00,-7.861E-01
