Freq.	V(vout)
1.00000000000000e-001	(2.40352715080700e+001dB,9.09130263756621e+001°)
1.02329299228075e-001	(2.38353211402228e+001dB,9.08922464298383e+001°)
1.04712854805090e-001	(2.36353685390995e+001dB,9.08719392588776e+001°)
1.07151930523761e-001	(2.34354138051679e+001dB,9.08520941160681e+001°)
1.09647819614319e-001	(2.32354570343783e+001dB,9.08327004983090e+001°)
1.12201845430196e-001	(2.30354983183660e+001dB,9.08137481406326e+001°)
1.14815362149688e-001	(2.28355377446457e+001dB,9.07952270108466e+001°)
1.17489755493953e-001	(2.26355753967962e+001dB,9.07771273042940e+001°)
1.20226443461741e-001	(2.24356113546378e+001dB,9.07594394387283e+001°)
1.23026877081238e-001	(2.22356456944006e+001dB,9.07421540493020e+001°)
1.25892541179417e-001	(2.20356784888864e+001dB,9.07252619836655e+001°)
1.28824955169313e-001	(2.18357098076223e+001dB,9.07087542971743e+001°)
1.31825673855641e-001	(2.16357397170085e+001dB,9.06926222482029e+001°)
1.34896288259165e-001	(2.14357682804581e+001dB,9.06768572935616e+001°)
1.38038426460288e-001	(2.12357955585323e+001dB,9.06614510840162e+001°)
1.41253754462275e-001	(2.10358216090677e+001dB,9.06463954599062e+001°)
1.44543977074593e-001	(2.08358464872993e+001dB,9.06316824468615e+001°)
1.47910838816821e-001	(2.06358702459776e+001dB,9.06173042516133e+001°)
1.51356124843621e-001	(2.04358929354800e+001dB,9.06032532578997e+001°)
1.54881661891248e-001	(2.02359146039174e+001dB,9.05895220224617e+001°)
1.58489319246111e-001	(2.00359352972366e+001dB,9.05761032711290e+001°)
1.62181009735893e-001	(1.98359550593173e+001dB,9.05629898949931e+001°)
1.65958690743756e-001	(1.96359739320651e+001dB,9.05501749466667e+001°)
1.69824365246174e-001	(1.94359919555002e+001dB,9.05376516366255e+001°)
1.73780082874937e-001	(1.92360091678425e+001dB,9.05254133296338e+001°)
1.77827941003892e-001	(1.90360256055921e+001dB,9.05134535412481e+001°)
